Id, Lable, Modularity Class
0,YLR321C,g
1,YPR034W,y
2,YCR052W,g
3,YDR224C,gp
4,YMR091C,g
5,YNL039W,gp
6,YIL126W,g
7,YGL249W,gp
8,YPL083C,gp
9,YGR275W,y
10,YNR023W,b
11,YDR243C,gp
12,YBL002W,gp
13,YOR290C,b
14,YHL025W,b
15,YBR289W,b
16,YKL141W,bp
17,YOR304W,gp
18,YMR159C,gp
19,YHR056C,g
20,YFR037C,g
21,YLR357W,g
22,YBL003C,gp
23,YPL016W,b
24,YBL006C,g
25,YDR073W,b
26,YJL065C,gp
27,YGL133W,gp
28,YDR225W,gp
29,YMR127C,gp
30,YFL049W,b
31,YDR303C,g
32,YJR090C,bp
33,YBR245C,gp
34,YPL129W,b
35,YJL176C,b
36,YML127W,g
37,YEL020W-A,bp
38,YLR033W,g
39,YKR008W,g
40,YGR056W,g
41,YLR105C,gp
42,YOR057W,bp
43,YBR009C,gp
44,YNL030W,gp
45,YIL072W,gp
46,YCR020W-B,g
47,YMR033W,y
